Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Non-Fatal,Destroyed,Airplane,Cessna,172P,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,180A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Beech,A36,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Bell,206B,1.0,Turbo Shaft,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,175,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Descent
Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA28-151,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-23-250,2.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Peter A. Geiser,Lee/Geiser Nieuprt17,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Aviat,A1A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Beech,D50C,2.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,SR-22,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Reciprocating,Part 137: Agricultural,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,310J,2.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Shannon,Lancair Legacy 2000,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-32RT-300,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Standing
Non-Fatal,Substantial,Airplane,Champion,7ECA,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,337 B,2.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Robinson,R44 II,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Standing
Non-Fatal,Substantial,Airplane,North American,AT-6C,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Destroyed,Airplane,Mitchell,KR-2S,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Go-around
Non-Fatal,Substantial,Airplane,Cessna,U206E,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Approach
Non-Fatal,Substantial,Helicopter,Hughes,269A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Cruise
